Site,Network(s),City,Country,Agency,Lat,Long,Height (m),Site,Receiver,Antenna,Radome,Calibration,Last RINEX2,Last RINEX3,Sat System,Site
ABMF00GLP,IGS,Les Abymes,Guadeloupe,IGN,16.2623056,-61.5275306,-25,ABMF00GLP,SEPT POLARX5,TRM57971.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,ABMF00GLP
ABPO00MDG,IGS,Antananarivo,Madagascar,JPL,-19.018306,47.2292117,1552.9923,ABPO00MDG,SEPT POLARX5,ASH701945G_M,SCIT,FIELD,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,ABPO00MDG
ACRG00GHA,IGS,Accra,Ghana,GFZ,5.6414778,-0.2071111,83.5,ACRG00GHA,JAVAD TR_G3TH,JAV_RINGANT_G3T,NONE,ROBOT,n/a,2020-10-20,GPS+GLO+GAL,ACRG00GHA
ADIS00ETH,IGS,Addis Ababa,Ethiopia,BKG,9.035134,38.7663017,2439.154,ADIS00ETH,JPS LEGACY,TRM29659.00,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,ADIS00ETH
AGGO00ARG,IGS,La Plata,Argentina,BKG,-34.8737083,-58.1398611,42.085,AGGO00ARG,LEICA GRX1200+GNSS,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+SBAS,AGGO00ARG
AIRA00JPN,IGS,Aira,Japan,GSI,31.8240611,130.5995917,314.64,AIRA00JPN,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+QZSS,AIRA00JPN
AJAC00FRA,IGS,Ajaccio,France,IGN,41.92745,8.7626083,98.8,AJAC00FRA,SEPT POLARX5,TRM115000.00,NONE,ROBOT,2020-07-22,2020-07-22,GPS+GLO+GAL+BDS+SBAS,AJAC00FRA
ALBH00CAN,IGS,Victoria,Canada,GSC,48.3898,-123.4874,32,ALBH00CAN,SEPT POLARX5,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,ALBH00CAN
ALGO00CAN,IGS,Algonquin Park,Canada,NRCan,45.9588,-78.0714,202,ALGO00CAN,SEPT POLARX5,AOAD/M_T,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,ALGO00CAN
ALIC00AUS,IGS,Alice Springs,Australia,GA,-23.670125,133.8855139,603.4,ALIC00AUS,LEICA GR25,LEIAR25.R3,NONE,ROBOT,2020-10-15,2020-10-15,GPS+GLO+GAL+BDS+QZSS,ALIC00AUS
ALRT00CAN,IGS,Alert (Ellesmere Island),Canada,NRCan/GSD,82.4942944,-62.3404611,78.11,ALRT00CAN,ASHTECH UZ-12,ASH701945D_M,NONE,ROBOT,2019-06-17,n/a,GPS,ALRT00CAN
AMC400USA,IGS,Colorado Springs,United States of America,USNO,38.803125,-104.5245972,1911.3941,AMC400USA,SEPT POLARX5TR,TPSCR.G5C,NONE,ROBOT,2020-07-22,2020-07-22,GPS+GLO+GAL+BDS+QZSS,AMC400USA
ANKR00TUR,IGS,Ankara,Turkey,GCM,39.8875111,32.7585778,974.8,ANKR00TUR,LEICA GR30,LEIAR10,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS+SBAS,ANKR00TUR
ANMG00MYS,IGS,Putrajaya,Malaysia,JAXA,2.7846483,101.5066022,15.002,ANMG00MYS,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+BDS+QZSS,ANMG00MYS
ANTC00CHL,IGS,Los Angeles,Chile,NSC,-37.3387028,-71.53205,745.4,ANTC00CHL,TRIMBLE NETR9,ASH700936D_M,SNOW,ROBOT,2020-09-23,n/a,GPS+GLO,ANTC00CHL
AREG00PER,IGS,Arequipa,Peru,CNES,-16.4654233,-71.4929041,2489.337,AREG00PER,SEPT POLARX5,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,AREG00PER
AREQ00PER,IGS,Arequipa,Peru,JPL,-16.465517,-71.4927967,2488.9226,AREQ00PER,JAVAD TRE_G3TH DELTA,JAVRINGANT_DM,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,AREQ00PER
ARHT00ATA,IGS,McMurdo Station,Antarctica,JPL,-77.8294361,166.6636528,135.336,ARHT00ATA,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS+QZSS+IRNSS,ARHT00ATA
ARTU00RUS,IGS,Arti,Russian Federation,RDAAC,56.4298222,58.5604528,247.511,ARTU00RUS,JAVAD TRE_G3TH DELTA,ASH700936D_M,DOME,n/a,2020-10-20,n/a,GPS+GLO,ARTU00RUS
ARUC00ARM,IGS,Aruch-Yerevan,Armenia,JPL,40.2857222,44.0855833,1222,ARUC00ARM,SEPT POLARX5,ASH701945C_M,SCIS,ROBOT,2020-10-19,2020-10-19,GPS+GLO+GAL+BDS+QZSS,ARUC00ARM
ASCG00SHN,IGS,Ascension Island,"Saint Helena, Ascension and Tristan Da Cunha",CNES,-7.916281,-14.3326645,37.953,ASCG00SHN,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,ASCG00SHN
ASPA00USA,IGS,Pago Pago,United States,NGS,-14.3260944,-170.7224333,53.7,ASPA00USA,TRIMBLE NETR5,TRM55971.00,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,ASPA00USA
ATRU00KAZ,IGS,Atyrau,Kazakhstan,JSC KGS,47.1308806,51.9537667,-32.0524,ATRU00KAZ,LEICA GR10,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+SBAS,ATRU00KAZ
AUCK00NZL,IGS,Whangaparaoa Peninsula,New Zealand,GNS,-36.6028,174.8344,132.711,AUCK00NZL,TRIMBLE ALLOY,TRM115000.00,NONE,ROBOT,2020-10-20,2019-01-22,GPS+GLO+GAL+BDS+QZSS,AUCK00NZL
BADG00RUS,IGS,Badary,Russian Federation,IAA,51.7697056,102.2349806,811.4,BADG00RUS,JAVAD TRE_G3TH DELTA,JAVRINGANT_DM,JVDM,ROBOT,2020-10-20,n/a,GPS+GLO,BADG00RUS
BAIE00CAN,IGS,BAIE COMEAU,Canada,NRCan,49.186825,-68.2633278,27.5,BAIE00CAN,TPS NET-G5,TPSCR.G3,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO,BAIE00CAN
